Date,Semaine,Jour,Pilier,Feature/Thème,Accroche,Corps du post,CTA,Format,Statut,Image_URL
2026-03-26,S2,Jeudi,Build in public,Transparence coûts,"Combien coûte faire tourner un SaaS solo en 2026 — mes vrais chiffres","Combien coûte faire tourner un SaaS solo en 2026.

Mes vrais chiffres :

Railway : ~5€/mois
Supabase : gratuit (early stage)
Claude API : variable selon usage
Hunter.io : ~49€/mois
Stripe : 1,4% + 0,25€ par transaction

Total fixe : ~55€/mois
Sans compter le temps.

Voilà pourquoi le plan Pro est à 9,99€/mois.
Le prix le plus bas pour être viable.

Des questions sur les coûts d'un SaaS ?
👇 En commentaires.

Le produit : https://www.relance-work.fr/","Questions en commentaires — https://www.relance-work.fr/",Texte transparent build in public,,https://images.unsplash.com/photo-1554224155-8d04cb21cd6c?w=1200&q=80
2026-03-27,S2,Vendredi,Social proof,Workflow complet,"De 0 à 20 candidatures en 45 minutes — le workflow complet","De 0 à 20 candidatures en 45 minutes.

Le workflow complet :

1️⃣ Agent IA → scrape 20 offres Indeed sur 'développeur React Paris'
2️⃣ Scoring automatique → 10 offres > 75% de match
3️⃣ Génération lettre IA → 10 lettres personnalisées en ~10 secondes chacune
4️⃣ Ajout en 1 clic au dashboard de suivi
5️⃣ Relances programmées automatiquement

Sans RelanceWork : 2 jours de travail.
Avec : 45 minutes.

👉 https://www.relance-work.fr/","Voir le workflow → https://www.relance-work.fr/",Texte + GIF démo,,
2026-03-28,S2,Samedi,Léger,Analytics,"Le graphique qui ne ment pas","Le graphique qui ne ment pas.

[Screenshot analytics hebdomadaire]

Ton activité de recherche d'emploi sur 7 jours.

La régularité bat l'intensité.
Tous les jours > sprint du dimanche soir.

Track ta recherche :
👉 https://www.relance-work.fr/","Track ta recherche → https://www.relance-work.fr/",Screenshot analytics,,
2026-03-29,S2,Dimanche,Éducatif,Optimisation LinkedIn,"Checklist LinkedIn 10 points pour être trouvé par les recruteurs","Checklist LinkedIn pour être trouvé par les recruteurs.

10 points, coche ceux que tu as déjà :

☐ Photo professionnelle (x7 plus de vues)
☐ Titre accrocheur (pas juste le poste)
☐ Résumé en première personne
☐ Expériences avec résultats chiffrés
☐ Compétences validées par des pairs
☐ Minimum 3 recommandations
☐ URL personnalisée
☐ Section 'En vedette' avec portfolio
☐ 1 post minimum par semaine
☐ Mots-clés métier dans tout le profil

Combien tu en as ?
👇 En commentaires.

Pour le reste : https://www.relance-work.fr/","Quel point tu n'as pas encore fait ? — https://www.relance-work.fr/",Texte long éducatif,,https://images.unsplash.com/photo-1611944212129-29977ae1398c?w=1200&q=80
2026-03-30,S3,Lundi,Éducatif,Lettre de motivation,"La lettre de motivation en 2026 : avant / après","La lettre de motivation en 2026.

AVANT (ce que tout le monde écrit) :
'Madame, Monsieur, Je vous contacte pour vous soumettre ma candidature au poste de...'

→ Poubelle.

APRÈS (ce qui fonctionne) :
'Chez [Entreprise], vous construisez [X]. Je peux contribuer à [Y] parce que j'ai déjà fait [Z] avec des résultats concrets.'

La différence :
→ Court
→ Personnalisé
→ Orienté valeur pour EUX

3 paragraphes maximum.
0 formule bateau.

RelanceWork génère ça automatiquement pour chaque offre.
En 10 secondes.

👉 https://www.relance-work.fr/","RelanceWork génère ça automatiquement → https://www.relance-work.fr/",Texte + before/after,,https://images.unsplash.com/photo-1455390582262-044cdead277a?w=1200&q=80
2026-03-31,S3,Mardi,Démo produit,Gmail tracking,"Tes emails de candidature sont-ils seulement lus ?","Tes emails de candidature sont-ils seulement lus ?

RelanceWork connecte ton Gmail et détecte automatiquement :
→ Emails de candidature envoyés
→ Réponses reçues
→ Candidatures sans réponse depuis +3 jours

Auto-sync toutes les 60 secondes.
Tu n'as rien à faire.
Ton dashboard se met à jour quand une réponse arrive.

Fini le 'Est-ce qu'ils ont reçu mon mail ?'

👉 https://www.relance-work.fr/","Connecte ton Gmail → https://www.relance-work.fr/",Texte + GIF sync Gmail,,
2026-04-01,S3,Mercredi,Problème → Solution,Recherche entreprises,"Trouver 50 agences web à Lyon en 2 minutes — comment ?","Trouver 50 agences web à Lyon en 2 minutes.

Voici comment :

Recherche Google Maps intégrée dans RelanceWork.
→ Tu filtres par secteur, ville, rayon
→ Tu vois les sites web, emails, infos clés

Hunter.io intégré :
→ 1 clic → RelanceWork trouve l'email du recruteur
→ Tu transformes n'importe quelle entreprise en candidature spontanée

Du repérage à l'envoi en moins de 5 minutes.

👉 https://www.relance-work.fr/","Cherche des entreprises → https://www.relance-work.fr/",Texte + screenshot carte,,https://images.unsplash.com/photo-1524661135-423995f22d0b?w=1200&q=80
2026-04-02,S3,Jeudi,Build in public,Décision produit,"La feature que j'ai failli ne pas construire","La feature que j'ai failli ne pas construire.

Les candidatures spontanées IA.

Je pensais que personne n'utiliserait ça.
Trop niche. Trop complexe.

Puis les retours d'utilisateurs ont commencé :
'Le marché est saturé sur les offres publiées. La vraie diff, c'est les spontanées.'

J'ai construit en 3 semaines.

C'est maintenant une des features les plus utilisées du produit.

Leçon :
Construire ce que les utilisateurs demandent > ce qu'on pense qu'ils veulent.

Le produit : https://www.relance-work.fr/","https://www.relance-work.fr/",Texte narratif build in public,,https://images.unsplash.com/photo-1552664730-d307ca884978?w=1200&q=80
2026-04-03,S3,Vendredi,Démo produit,Templates relance,"1 template → des dizaines d'emails personnalisés en 1 clic","1 template → des dizaines d'emails personnalisés en 1 clic.

L'éditeur de templates dans RelanceWork utilise des variables dynamiques :
{{nom}}, {{titre}}, {{telephone}}, {{linkedin}}, {{signature}}

Tu écris le template une fois.
RelanceWork personnalise chaque email automatiquement.

Plus jamais le copier-coller manuel.
Plus jamais les erreurs de personnalisation.

[Screenshot éditeur template]

👉 https://www.relance-work.fr/","Crée tes templates → https://www.relance-work.fr/",Texte + screenshot éditeur,,
2026-04-04,S3,Samedi,Léger,Kanban view,"Vue Kanban — pour ceux qui pensent en colonnes","Vue Kanban — pour ceux qui pensent en colonnes.

[GIF drag & drop kanban]

Glisser une candidature de 'En attente' à 'Entretien' en 1 seconde.

Petite satisfaction du job search. 🎯

👉 https://www.relance-work.fr/","https://www.relance-work.fr/",GIF kanban,,https://images.unsplash.com/photo-1611224923853-80b023f02d71?w=1200&q=80
2026-04-05,S3,Dimanche,Éducatif,Analyse offre emploi,"Comment analyser une offre d'emploi en 5 minutes avant de postuler","Comment analyser une offre d'emploi en 5 minutes avant de postuler.

Méthode en 5 étapes :

1️⃣ Identifie les compétences MUST-HAVE vs nice-to-have
2️⃣ Cherche des indices sur la culture d'entreprise (mots utilisés, valeurs)
3️⃣ Évalue la séniorité réelle — pas juste le titre
4️⃣ Repère ce qu'ils ne disent PAS (red flags)
5️⃣ Croise avec ton profil : 70%+ ? Tu postules. En dessous ? Tu adaptes ou tu passes.

C'est exactement ce que l'Agent IA fait automatiquement dans RelanceWork.
En 30 secondes.

👉 https://www.relance-work.fr/","Analyse tes offres en 30 secondes → https://www.relance-work.fr/",Texte éducatif long,,https://images.unsplash.com/photo-1460925895917-afdab827c52f?w=1200&q=80
2026-04-06,S4,Lundi,Éducatif,5 erreurs job search,"5 erreurs que font TOUS les chercheurs d'emploi (et comment les éviter)","5 erreurs que font tous les chercheurs d'emploi.

Tu en fais probablement encore au moins 2.

❌ 1. Postuler à tout sans cibler
→ Taux de réponse catastrophique. Qualité > quantité.

❌ 2. Ne jamais relancer
→ 80% des candidats font cette erreur. +23% de réponses avec une relance.

❌ 3. CV générique pour tous les postes
→ Personnalise ou sois ignoré. Les ATS le détectent.

❌ 4. Ignorer les candidatures spontanées
→ 70% du marché non adressé. C'est là que la concurrence est faible.

❌ 5. Ne pas tracker ses candidatures
→ Impossible d'améliorer ce qu'on ne mesure pas.

Laquelle tu as déjà arrêtée ?
👇 En commentaires.

Pour les autres : https://www.relance-work.fr/","En commentaires : quelle erreur tu as arrêtée ? — https://www.relance-work.fr/",Texte éducatif,,https://images.unsplash.com/photo-1484480974693-6ca0a78fb36b?w=1200&q=80
2026-04-07,S4,Mardi,Démo produit,Lettre IA en 10 secondes,"Lettre de motivation en 10 secondes — démo en conditions réelles","Lettre de motivation en 10 secondes.
Démo en conditions réelles.

[GIF génération lettre]

L'Agent IA génère une lettre personnalisée pour chaque offre.

Pas un template générique.
Une vraie lettre basée sur :
→ Le descriptif du poste
→ Les compétences requises
→ Ton profil et ton CV

Différente à chaque fois.
Modifiable avant envoi.

Tu postes 5x plus vite. Sans sacrifier la qualité.

👉 https://www.relance-work.fr/","Génère ta lettre → https://www.relance-work.fr/",GIF génération,,
2026-04-08,S4,Mercredi,Problème → Solution,Email spontané personnalisé,"Email spontané générique vs email IA — la vraie différence","Email spontané générique vs email IA.

La vraie différence.

GÉNÉRIQUE (ce que tout le monde envoie) :
'Je vous contacte pour vous soumettre ma candidature spontanée au sein de votre structure...'

→ Corbeille en 3 secondes.

AVEC IA (RelanceWork) :
→ Mentionne un projet récent de l'entreprise
→ Angle spécifique à leur secteur
→ Valeur directe que tu apportes à LEUR problème

Le premier est ignoré.
Le second génère une réponse.

👉 https://www.relance-work.fr/","Vois la différence → https://www.relance-work.fr/",Texte + before/after email,,https://images.unsplash.com/photo-1596526131083-e8c633c948d2?w=1200&q=80
2026-04-09,S4,Jeudi,Build in public,Histoire fondateur,"J'ai construit RelanceWork parce que j'en avais besoin","J'ai construit RelanceWork parce que j'en avais besoin.

J'étais en recherche d'emploi.
J'avais un Excel avec 47 lignes.

Je ne savais plus :
→ Qui j'avais relancé
→ Qui m'avait répondu
→ Quelle lettre j'avais envoyée à qui

J'ai cherché un outil.
Rien n'existait vraiment pour ce besoin précis.

Alors je l'ai construit.

Aujourd'hui RelanceWork aide des centaines de candidats à structurer leur recherche.

C'est ça la meilleure raison de construire quelque chose.

Le produit : https://www.relance-work.fr/","https://www.relance-work.fr/",Texte narratif fondateur,,https://images.unsplash.com/photo-1499750310107-5fef28a66643?w=1200&q=80
2026-04-10,S4,Vendredi,Social proof,Free vs Pro,"Free vs Pro — ce qui change vraiment (spoiler : le gratuit suffit pour commencer)","Free vs Pro — ce qui change vraiment.

FREE (gratuit pour toujours) :
✅ Dashboard complet
✅ 10 candidatures suivies
✅ Vues Kanban / Tableau / Analytics
✅ Relances manuelles

PRO (9,99€/mois) :
✅ Candidatures illimitées
✅ Agent IA Job Search
✅ Candidatures spontanées IA
✅ Conseiller IA (analyse CV vs offre)
✅ Gmail tracking automatique
✅ Templates illimités

Moins cher qu'un livre sur la recherche d'emploi.

Commence gratuit, upgrade si tu en as besoin :
👉 https://www.relance-work.fr/","Commence gratuit → https://www.relance-work.fr/",Texte comparatif,,https://images.unsplash.com/photo-1559526324-4b87b5e36e44?w=1200&q=80
